feature_idx,effect_size,p_value,pos_mean_change,neg_mean_change,pos_std_change,neg_std_change,p_value_fdr
22,0.5023827764864616,0.2461511982714899,0.008350803,-0.073322855,0.2148364,0.105218634,0.9863660531545235
23,-0.4105833892267457,0.3407500051040536,-0.043717656,0.038775485,0.19783652,0.18900329,0.9863660531545235
24,0.021334619269266383,0.9601012731717249,-0.024336804,-0.027434701,0.11712894,0.15064026,0.9934324485069281
25,-0.5188836930368789,0.23145333185124628,-0.024624981,0.108859286,0.16687648,0.2834676,0.9863660531545235
26,0.1193511229991294,0.7797726360363207,-0.024507599,-0.058788147,0.1996039,0.3115955,0.9863660531545235
27,0.3582976174551718,0.40460207383008695,0.0357899,-0.024670625,0.21148318,0.12217816,0.9863660531545235
28,-0.24613367213076265,0.5653213648817115,-0.11682394,-0.043157812,0.23051868,0.3154289,0.9863660531545235
29,-0.6269542793771828,0.15121988106769632,-0.06038287,-0.0026601115,0.06767119,0.09841104,0.9863660531545235
30,0.09091458016179524,0.8312682818246515,0.0675721,0.046578985,0.20047484,0.23256819,0.9863660531545235
31,-0.14234214093270298,0.7388690878434445,0.00053262216,0.026362682,0.09908773,0.20592579,0.9863660531545235
32,-0.5549001809613159,0.20170227145481842,-0.07842424,0.034405548,0.23867112,0.16266613,0.9863660531545235
33,-0.41456613392036573,0.33618455852880924,0.04636478,0.102616884,0.078251705,0.15274024,0.9863660531545235
34,-0.2726351771118391,0.5245728699635472,-0.019292567,0.037856076,0.13188124,0.23239611,0.9863660531545235
35,0.25513423996981555,0.5513011713795679,-0.0019032226,-0.06110828,0.2202764,0.2233069,0.9863660531545235
36,0.16325124304572725,0.7023399746497601,-0.07287581,-0.12582926,0.36621898,0.27174395,0.9863660531545235
37,-0.0578231457991085,0.892167764359295,0.016003324,0.03177256,0.28066656,0.24862991,0.9863660531545235
38,-0.0223655182489553,0.9581751922248274,0.011790708,0.015908381,0.17470363,0.17720333,0.9934324485069281
39,0.13386019192375448,0.7538749731228529,0.05709655,0.04189508,0.14946045,0.0742405,0.9863660531545235
40,-0.317264069949905,0.45975180460361986,-0.100084454,-0.029739637,0.20740198,0.2151598,0.9863660531545235
41,-0.26921411592892724,0.5297414040796016,-0.04000577,0.038364552,0.3496475,0.22569622,0.9863660531545235
42,0.0022552244937115024,0.9957805536098824,0.017312046,0.016958863,0.18268599,0.12627956,0.9989613008958841
43,0.07236473660530529,0.8652988562241432,0.039298017,0.02255633,0.24728307,0.20447929,0.9863660531545235
44,0.5772537157732677,0.1847915990319183,0.028400548,-0.04791595,0.121135086,0.12973382,0.9863660531545235
45,0.04898566237934005,0.9085641341802384,0.020562,0.007337912,0.30650684,0.22476465,0.9863660531545235
46,-0.04513553117486878,0.9157208611912462,-0.0004406505,0.004716305,0.09491925,0.11721918,0.9863660531545235
47,0.2768075579938606,0.5183068297857049,-0.043586545,-0.083067276,0.14085717,0.1339101,0.9863660531545235
48,0.3127155134908167,0.4661318327216297,-0.037797544,-0.119686194,0.22133245,0.2667955,0.9863660531545235
49,0.6378644097994102,0.1445570921151592,0.13357651,0.060873643,0.11194796,0.10739751,0.9863660531545235
50,0.801284381274363,0.07056276799348403,0.04543972,-0.06280584,0.14074293,0.12198579,0.9863660531545235
51,0.6646292629962044,0.1292271629228689,0.024215417,-0.046889115,0.10336922,0.10186094,0.9863660531545235
52,-0.11859483991598388,0.7811300363609395,0.0013291024,0.020407865,0.108287826,0.17584646,0.9863660531545235
53,0.41154242161085164,0.3396468050334107,0.098430015,-0.010627159,0.24717139,0.25756064,0.9863660531545235
54,-0.26916739050723404,0.5298121877351414,0.0160943,0.07849393,0.19800025,0.23515974,0.9863660531545235
55,0.9508162531336959,0.034416451157877094,0.067074016,-0.168804,0.22553253,0.2444274,0.9863660531545235
56,-0.06367059657892295,0.881345432602523,0.0038515197,0.020915976,0.26830265,0.2493174,0.9863660531545235
57,0.35078787638900205,0.4143677201087115,0.03488925,-0.0118224835,0.05798536,0.1548866,0.9863660531545235
58,-0.20784508299016805,0.6269337265867245,-0.020680537,0.021400204,0.19032557,0.1959226,0.9863660531545235
59,0.13674682718474224,0.7487565524197404,0.055068053,0.030178122,0.21161735,0.147379,0.9863660531545235
60,0.1426621633200145,0.738304951303121,0.07470791,0.02210041,0.3973372,0.32359302,0.9863660531545235
61,0.0625839337141364,0.8833548822171211,-0.0014211403,-0.014596079,0.20301022,0.20067522,0.9863660531545235
62,0.3231648154011371,0.4515535148545612,0.068540685,0.01856537,0.16679682,0.13558032,0.9863660531545235
