feature_idx,effect_size,p_value,pos_mean_change,neg_mean_change,pos_std_change,neg_std_change,p_value_fdr
20,0.029326556901825136,0.7927018164429377,0.025767658,0.019165505,0.22445805,0.22444516,0.8479038927969027
21,0.18625889302559753,0.0957699413096836,0.0046821046,-0.03626239,0.1835557,0.24033934,0.15142025940406678
22,0.35490278769666905,0.0015957229986740405,0.005979397,-0.05749913,0.22810392,0.13444369,0.004713520242237166
23,-0.23684427031607994,0.03439726076204952,-0.044885997,0.002484632,0.21583916,0.1874426,0.06490687043059959
24,-0.016528687966303163,0.8822451985621663,-0.023322549,-0.02082887,0.12543646,0.16522788,0.9168664580456614
25,-0.4184179287127864,0.00020652710522967694,-0.024150046,0.083965644,0.17848961,0.29962695,0.0008667367039147097
26,0.09666919775952887,0.38657997327030535,-0.020722944,-0.049260106,0.21308118,0.33850724,0.49317843766045605
27,0.37743170021025013,0.0007970789428307345,0.036346257,-0.03465505,0.22637661,0.15580161,0.0026500286930476367
28,-0.23372665087057087,0.03682292355112187,-0.11593349,-0.0436548,0.24173939,0.34627065,0.06864078953218834
29,-0.427285265835099,0.00015193909789357172,-0.058559995,-0.015977979,0.08372031,0.10869357,0.0006667955838986461
30,0.03181634478996676,0.7755576639007966,0.065987654,0.05838603,0.2123596,0.25424775,0.833046553672464
31,-0.08513138752744114,0.44570657509244194,-0.0013143495,0.015485642,0.12186475,0.23430066,0.5476842394735927
32,-0.46681688986239983,3.630462726535433e-05,-0.07953644,0.017246934,0.24644059,0.1746754,0.00019125728458290945
33,-0.2258238625005192,0.04363599065826139,0.047050193,0.08018162,0.09756769,0.17161855,0.0792256284291838
34,-0.22753817055374775,0.0420735397006114,-0.021919377,0.029369147,0.15642248,0.26108652,0.0770670390763615
35,0.11991569158825396,0.2829476031259121,-0.00044998946,-0.028955119,0.23617442,0.23755337,0.3799016769243016
36,0.25425780680332094,0.02322264131145801,-0.06999304,-0.15415676,0.38778812,0.28423214,0.04668845164188417
37,0.06133690360183125,0.5826203408208416,0.018706646,0.0015272471,0.29748964,0.26615298,0.6688377006732531
38,0.12434964249519667,0.26555816332098403,0.013482868,-0.009528958,0.18267453,0.18573241,0.360971096337196
39,0.09060738162396179,0.4170222811673703,0.05778501,0.04589859,0.15839745,0.10812536,0.5207692877016916
40,-0.2757892118160784,0.013882671048522293,-0.098308906,-0.036093604,0.22416054,0.22542307,0.030355998895370006
41,-0.33833248386474285,0.0026009135894540106,-0.043466445,0.059557594,0.36382714,0.25474608,0.007159504074195986
42,0.014280785522375763,0.8981653149782501,0.01761031,0.015219949,0.1963112,0.1435204,0.9296374149640109
43,-0.06412022798122373,0.5656383527640776,0.03761522,0.05287942,0.2683004,0.21380322,0.6552190873647233
44,0.46297288869590153,4.1914811940148164e-05,0.030238148,-0.036134772,0.13631387,0.14725335,0.0002157056931872452
45,0.08104657570136246,0.46781972657103954,0.019292794,-0.003321504,0.3151144,0.250059,0.5675917061714982
46,0.013680036805957634,0.9024271995113168,-0.00047697139,-0.002141238,0.107981294,0.12954527,0.9327915063589385
47,0.2061724324125476,0.06533809070913812,-0.043687373,-0.07640687,0.16896193,0.15050358,0.1110169328863232
48,0.3277533727794936,0.003518272770487353,-0.037506733,-0.12399242,0.22691235,0.28501958,0.009414750828342464
49,0.4970931803984744,1.132203571988252e-05,0.13252677,0.06490399,0.13562152,0.13563326,7.535056018034364e-05
50,0.7484208055664907,8.302925204751337e-11,0.04683669,-0.062341075,0.14680803,0.14450474,1.8358893698862325e-09
51,0.8971043350294421,1.5363265680717326e-14,0.022662375,-0.07098012,0.10976831,0.10001977,1.0726352766173553e-12
52,-0.03839482155378298,0.7308054186626545,0.0005303427,0.0069307345,0.11621487,0.19286968,0.7938593515317096
53,0.49115481633869496,1.429549634481418e-05,0.09726866,-0.035034347,0.2707556,0.26706633,8.925968449444952e-05
54,-0.2627034519285933,0.019050866483872598,0.01513053,0.07666159,0.20394115,0.25161448,0.03933925395713447
55,0.8573592013304315,1.6941993976254518e-13,0.06984363,-0.15199064,0.24609111,0.2657191,9.293893838402477e-12
56,-0.22675910770601554,0.042777595837681384,0.0023286042,0.061535735,0.28327677,0.2435147,0.07785116967615949
57,0.22965768334626357,0.040207740608535124,0.034844737,0.002544995,0.08123852,0.16888863,0.07422967496960331
58,-0.016581711330539036,0.8818702240500162,-0.021100814,-0.017827228,0.20604339,0.19032508,0.9168664580456614
59,0.20572511727599882,0.06592111549365391,0.056581568,0.0171881,0.22450002,0.16426119,0.1117603017640755
60,0.15569333338876376,0.16354594208691373,0.07055895,0.011490287,0.41759655,0.34904793,0.23654102358333284
61,-0.025198736797345953,0.8213443203128766,-0.0040310975,0.0014905427,0.2209292,0.21678014,0.8724653360999851
62,0.33368285251964724,0.0029730363259665837,0.06686961,0.010053362,0.17739548,0.16437775,0.008096779781355803
63,0.4164858086082883,0.00022065931047099226,0.06734411,-0.036156878,0.2193584,0.26531,0.0009070531392951818
64,-0.35136802035260156,0.0017737740684702315,-0.04940417,-0.0035968306,0.1591577,0.10569108,0.005140598055038256
65,-0.31349302126302914,0.005223115293082893,-0.03178798,0.0404337,0.17454472,0.2605327,0.013176124168285943
66,0.7367189884425889,1.5586818477448831e-10,0.028166752,-0.08887809,0.15464914,0.16088937,3.2353179974812707e-09
67,0.2956113683583607,0.00840536425445914,0.04517076,-0.014594366,0.22533703,0.18370147,0.019923826380940184
68,-0.38992523814966923,0.000534446429304931,-0.05837259,0.0018215242,0.15967992,0.14987035,0.0019452836858113128
69,-0.27120410418106633,0.01553144339255027,-0.0028999294,0.0856606,0.27971965,0.3532977,0.033314124798919514
70,0.27347614912277834,0.014693957426815276,0.0034906846,-0.032046933,0.13514383,0.1256275,0.03169932388706217
71,-0.2274574347364461,0.0421460369948852,0.011786128,0.043327127,0.119400755,0.14969492,0.0770670390763615
72,0.4128979530808746,0.0002493530912702961,0.0030421342,-0.06853616,0.11715081,0.20205688,0.0009871297633793166
73,0.2746489841547107,0.014277493385898952,0.06575224,-0.0022101235,0.25596392,0.2402289,0.030974900905001115
74,0.38053072890546824,0.0007225478876410505,0.08288738,0.017501289,0.2011669,0.14766414,0.0024553839721607384
75,-0.2485362995848319,0.026482791959074797,-0.0106966905,0.03586559,0.17184186,0.19627447,0.05215072878094729
76,-0.6240194560704706,4.58267760304124e-08,-0.15238976,-0.017867336,0.20846781,0.21920165,5.227893992690774e-07
77,0.055162077674371285,0.6211239248434801,0.020634044,0.010996375,0.18123063,0.16924977,0.6994474696184644
78,-0.31981606683172276,0.004391247202706467,-0.028209345,0.023420691,0.17814209,0.14816032,0.011549581683830709
79,0.19677022456093468,0.07852767615148919,-0.052344464,-0.08546023,0.17523044,0.16255215,0.12941900275610235
80,-0.12591545521710126,0.25959764877980585,-0.042847663,-0.021731202,0.20791525,0.13264681,0.35349467067888457
81,0.06947093908683045,0.5336789903299967,-0.032261655,-0.046055973,0.18698867,0.20508038,0.6228958428167742
82,0.42905095700667106,0.00014284157408151095,-0.033974,-0.12877159,0.11030352,0.27053764,0.0006341175080612741
83,-0.0512807135453762,0.6458807951895109,-0.052083436,-0.038228944,0.19739558,0.30877408,0.7188934068196295
84,-0.2122970525547782,0.05777612143981549,0.031064825,0.06946595,0.14884925,0.19888678,0.09948892660488408
85,0.16587676613025376,0.1377878552526094,0.010744775,-0.02782937,0.22677276,0.23523149,0.20665336648242688
